sample,channel,normalized,mse_loss,psd_loss
38,10m_v_component_of_wind,denormalized,4.2797441482543945,2.2474985122680664
38,2m_temperature,denormalized,37.05927276611328,2.1313061714172363
38,mean_sea_level_pressure,denormalized,295647.75,2.039290189743042
39,10m_u_component_of_wind,denormalized,3.8038203716278076,1.955318570137024
39,10m_v_component_of_wind,denormalized,4.126031875610352,2.2834746837615967
39,2m_temperature,denormalized,40.813148498535156,2.1373026371002197
39,mean_sea_level_pressure,denormalized,143863.40625,2.0923922061920166
40,10m_u_component_of_wind,denormalized,5.2395429611206055,1.9066780805587769
40,10m_v_component_of_wind,denormalized,6.216404914855957,2.103475332260132
40,2m_temperature,denormalized,91.14126586914062,1.974491000175476
40,mean_sea_level_pressure,denormalized,174086.53125,2.1039793491363525
41,10m_u_component_of_wind,denormalized,4.257086753845215,1.92887282371521
41,10m_v_component_of_wind,denormalized,5.148055076599121,2.099341869354248
41,2m_temperature,denormalized,296.2839050292969,2.1405158042907715
41,mean_sea_level_pressure,denormalized,1062094.0,2.05843448638916
42,10m_u_component_of_wind,denormalized,6.464587688446045,2.0470364093780518
42,10m_v_component_of_wind,denormalized,5.370565414428711,2.224191188812256
42,2m_temperature,denormalized,336.1798095703125,2.1504180431365967
42,mean_sea_level_pressure,denormalized,1011749.625,2.1279420852661133
43,10m_u_component_of_wind,denormalized,9.549991607666016,2.0028114318847656
43,10m_v_component_of_wind,denormalized,8.130271911621094,2.238596200942993
43,2m_temperature,denormalized,507.34564208984375,2.171449899673462
