sample,channel,normalized,loss_type,loss_value
58,2m_temperature,denormalized,MSE,6.050833702087402
58,mean_sea_level_pressure,denormalized,MSE,8067.7060546875
59,10m_u_component_of_wind,denormalized,MSE,0.44228577613830566
59,10m_v_component_of_wind,denormalized,MSE,0.6482499837875366
59,2m_temperature,denormalized,MSE,7.203335285186768
59,mean_sea_level_pressure,denormalized,MSE,13750.1015625
60,10m_u_component_of_wind,denormalized,MSE,0.4247102439403534
60,10m_v_component_of_wind,denormalized,MSE,0.5783980488777161
60,2m_temperature,denormalized,MSE,5.561887741088867
60,mean_sea_level_pressure,denormalized,MSE,12021.87109375
61,10m_u_component_of_wind,denormalized,MSE,0.6422770023345947
61,10m_v_component_of_wind,denormalized,MSE,0.7180933356285095
61,2m_temperature,denormalized,MSE,5.368521690368652
61,mean_sea_level_pressure,denormalized,MSE,10779.09375
62,10m_u_component_of_wind,denormalized,MSE,0.4596506357192993
62,10m_v_component_of_wind,denormalized,MSE,0.6095634698867798
62,2m_temperature,denormalized,MSE,6.29094934463501
62,mean_sea_level_pressure,denormalized,MSE,9805.3759765625
63,10m_u_component_of_wind,denormalized,MSE,0.47205549478530884
63,10m_v_component_of_wind,denormalized,MSE,0.7385200262069702
63,2m_temperature,denormalized,MSE,6.073826789855957
63,mean_sea_level_pressure,denormalized,MSE,12612.140625
64,10m_u_component_of_wind,denormalized,MSE,0.3925199806690216
64,10m_v_component_of_wind,denormalized,MSE,0.5642381906509399
64,2m_temperature,denormalized,MSE,5.036665916442871
64,mean_sea_level_pressure,denormalized,MSE,12391.2490234375
65,10m_u_component_of_wind,denormalized,MSE,0.3655025362968445
65,10m_v_component_of_wind,denormalized,MSE,0.626680850982666
65,2m_temperature,denormalized,MSE,5.81229305267334
65,mean_sea_level_pressure,denormalized,MSE,9363.462890625
66,10m_u_component_of_wind,denormalized,MSE,0.4288671314716339
66,10m_v_component_of_wind,denormalized,MSE,0.5993054509162903
66,2m_temperature,denormalized,MSE,6.014673233032227
66,mean_sea_level_pressure,denormalized,MSE,9730.2783203125
